datetime,open,high,low,close,volume,high_5_sma,high_5_mstd,vwma_5,boll,boll_ub,boll_lb,action
2022-12-11 12:00:00,17160.8,17161.1,17121.0,17145.5,19880.891,17172.94,11.216862306427158,17145.310084138444,17141.15,17337.096614641603,16945.2033853584,0
2022-12-11 16:00:00,17145.5,17265.0,17124.9,17169.5,46356.06,17190.82,42.932411998417145,17165.796173741717,17157.525,17293.888907479908,17021.161092520095,0
2022-12-11 20:00:00,17169.6,17169.7,17060.0,17077.3,52599.837,17192.079999999998,42.00901093815315,17146.764335540207,17166.005,17246.676014164615,17085.333985835387,0
2022-12-12 00:00:00,17077.3,17078.6,16865.0,16909.0,93215.464,17170.0,66.1241635107862,17065.095466949464,17149.36,17283.65151950349,17015.06848049651,-1
2022-12-12 04:00:00,16909.0,16939.0,16894.3,16916.2,27433.055,17122.68,122.08946309980887,17041.712871127547,17134.37,17300.496902666313,16968.243097333685,-1
2022-12-12 08:00:00,16916.2,16998.9,16895.5,16977.8,36001.638,17090.239999999998,130.5823226933816,17021.99580259224,17123.56,17301.094286088268,16946.025713911735,-1
2022-12-12 12:00:00,16977.8,17050.0,16912.8,16999.9,71821.147,17047.239999999998,86.66050426807524,16986.07265075333,17113.37,17294.887093294055,16931.852906705943,-1
2022-12-12 16:00:00,17000.0,17038.4,16973.9,17035.7,25169.941,17020.98,54.022976593262946,16964.93246379993,17103.56,17279.217386618704,16927.9026133813,0
2022-12-12 20:00:00,17035.6,17237.9,17035.6,17200.0,82215.013,17052.84,112.17492143967516,17035.697552471323,17105.04,17283.544305122865,16926.535694877137,0
2022-12-13 00:00:00,17200.0,17229.0,17114.6,17143.2,36929.287,17110.840000000004,113.56237493113092,17067.20446869975,17105.455,17284.28988974331,16926.620110256692,1
2022-12-13 04:00:00,17143.1,17197.9,17076.0,17157.0,55625.343,17150.640000000003,98.37978959115524,17097.394711834084,17107.205,17287.40138964789,16927.008610352113,1
2022-12-13 08:00:00,17156.9,17512.9,17146.7,17436.8,122406.12,17243.22,170.99923099243196,17223.661708860862,17122.045000000002,17354.82628406415,16889.263715935853,1
2022-12-13 12:00:00,17436.9,18100.0,17390.3,17749.6,263224.252,17455.54,381.9963258985757,17478.632522216347,17152.295,17517.175412853634,16787.414587146362,1
2022-12-13 16:00:00,17749.5,17836.8,17617.9,17740.6,85131.142,17575.32,390.4934532101853,17563.707499724278,17181.33,17631.26296857483,16731.397031425175,1
2022-12-13 20:00:00,17740.5,17818.0,17704.5,17777.1,33535.147,17693.120000000003,346.23416498089813,17602.332018368816,17210.17,17733.224909465363,16687.115090534633,1
2022-12-14 00:00:00,17777.1,17844.9,17749.5,17782.4,30721.609,17822.52,208.3176108734573,17660.928839163935,17240.975,17822.457536733775,16659.492463266222,1
2022-12-14 04:00:00,17782.4,17816.7,17734.8,17807.1,22263.983,17883.28,121.75318065671877,17750.50702058464,17275.329999999998,17905.841314978425,16644.81868502157,1
2022-12-14 08:00:00,17807.1,17880.0,17784.0,17823.8,37760.719,17839.28,25.78055468809521,17769.57783720909,17309.135,17981.91569086444,16636.354309135557,0
2022-12-14 12:00:00,17823.9,18111.5,17814.0,18054.8,137064.63,17894.22,124.1612942910477,17899.296935504408,17353.204999999998,18099.953718322184,16606.456281677813,1
2022-12-14 16:00:00,18054.8,18400.0,17704.3,17789.5,301024.945,18010.620000000003,246.9429225550569,17944.887824760313,17384.640000000003,18149.985506841287,16619.29449315872,1
2022-12-14 20:00:00,17789.5,17944.4,17659.4,17803.9,98675.813,18030.52,233.91512777080857,17929.212483304975,17417.56,18196.12098946443,16638.999010535572,0
2022-12-15 00:00:00,17804.0,17849.5,17560.0,17724.9,74507.679,18037.079999999998,226.77038386886875,17909.12152934562,17445.33,18226.25353180472,16664.406468195284,0
2022-12-15 04:00:00,17724.9,17744.3,17675.9,17686.0,27803.765,18009.94,256.4480122754578,17904.831704435135,17475.765,18243.63253318939,16707.89746681061,0
2022-12-15 08:00:00,17685.9,17716.6,17608.0,17712.1,52699.528,17930.96,277.31167122937893,17861.474691475814,17515.92,18241.843120766378,16789.99687923362,-1
2022-12-15 12:00:00,17712.1,17714.6,17355.0,17424.0,146628.881,17793.879999999997,100.58025154088331,17650.744172308503,17541.31,18212.36148567088,16870.25851432912,-1
2022-12-15 16:00:00,17424.0,17467.7,17310.0,17435.1,78980.398,17698.54,140.3157974000952,17560.239004846673,17564.175,18183.555647778205,16944.794352221794,-1
2022-12-15 20:00:00,17435.0,17449.7,17258.0,17351.8,56663.786,17618.579999999998,146.55929516759628,17496.83596263422,17581.77,18151.674705238234,17011.865294761767,-1
2022-12-16 00:00:00,17351.9,17419.9,17338.3,17418.9,35550.559,17553.7,148.77807298127271,17471.412104273848,17600.93,18116.73312482477,17085.126875175232,-1
2022-12-16 04:00:00,17418.8,17528.0,17365.4,17496.6,41640.97,17515.980000000003,117.84497019398029,17440.057355525343,17615.760000000002,18099.058405803993,17132.46159419601,-1
2022-12-16 08:00:00,17496.6,17510.5,16910.0,17018.6,188849.287,17475.16,44.1545920603862,17280.87841731871,17609.53,18120.875647236207,17098.18435276379,-1
2022-12-16 12:00:00,17018.7,17076.9,16870.6,16961.8,107277.504,17397.0,184.26133615063353,17180.59390660224,17599.769999999997,18153.203086717564,17046.33691328243,-1
2022-12-16 16:00:00,16961.8,16969.5,16700.0,16856.5,114774.62,17300.96,259.6485663353719,17080.939498754615,17570.754999999997,18213.76151212225,16927.748487877743,-1
2022-12-16 20:00:00,16856.6,16945.6,16521.1,16624.1,134057.305,17206.1,290.1772820191325,16974.307594511112,17514.480000000003,18277.404452630206,16751.5555473698,-1
2022-12-17 00:00:00,16624.1,16720.2,16571.8,16667.5,66363.998,17044.54,291.02510716432425,16906.134596750206,17460.825,18303.555256837568,16618.094743162434,-1
2022-12-17 04:00:00,16667.5,16764.0,16647.7,16738.0,45722.67,16895.239999999998,149.09222984449198,16790.7231113186,17408.870000000003,18296.431119852445,16521.30888014756,-1
2022-12-17 08:00:00,16737.9,16750.0,16652.3,16700.6,37850.073,16829.86,117.93594871794313,16734.037028296916,17354.78,18277.646209383074,16431.913790616924,-1
2022-12-17 12:00:00,16700.6,16719.4,16633.1,16692.4,40974.804,16779.840000000004,94.64094251432796,16689.29846279656,17299.045000000002,18241.32842696711,16356.761573032894,0
2022-12-17 16:00:00,16692.3,16713.4,16639.0,16684.2,23775.354,16733.4,22.26072775089805,16683.37574548148,17242.065,18188.55412752675,16295.57587247325,0
2022-12-17 20:00:00,16684.1,16790.0,16677.4,16768.0,33778.374,16747.36,31.768978579737382,16705.84053133125,17177.725,18064.665887782878,16290.784112217118,0
2022-12-18 00:00:00,16768.1,16775.0,16695.7,16736.5,19014.025,16749.56,33.54084077657978,16706.3421956526,17125.075,17983.669329489552,16266.480670510451,0
2022-12-18 04:00:00,16736.5,16795.0,16709.5,16739.9,26928.603,16758.56,39.24140670261549,16715.540163745707,17071.875,17883.964787296707,16259.785212703293,0
2022-12-18 08:00:00,16739.9,16758.7,16656.0,16702.2,35341.455,16766.42,32.852579807380394,16723.025184733237,17020.739999999998,17787.208160907052,16254.271839092942,0
2022-12-18 12:00:00,16702.2,16727.9,16663.3,16676.4,25280.386,16769.32,27.146767763407727,16724.413005219176,16970.26,17683.375242476744,16257.144757523254,0
2022-12-18 16:00:00,16676.4,16790.0,16670.0,16745.6,41996.189,16769.32,27.146767763407727,16722.751149892138,16921.935,17549.20524739198,16294.664752608023,0
2022-12-18 20:00:00,16745.7,16872.0,16715.1,16730.3,37337.555,16788.72,53.7980204096835,16732.39503707345,16887.25,17472.968910489748,16301.53108951025,0
2022-12-19 00:00:00,16730.4,16809.6,16620.4,16673.6,49601.728,16791.64,54.614128208740425,16721.996398030988,16849.175,17381.514254215752,16316.835745784247,0
2022-12-19 04:00:00,16673.5,16744.0,16664.0,16714.4,28214.603,16788.7,57.16668610301529,16722.919182042002,16817.305,17296.624168360635,16337.985831639364,0
2022-12-19 08:00:00,16714.5,16776.6,16702.7,16725.3,27329.823,16798.44,47.55931033983679,16729.3098868857,16782.625,17170.274309095403,16394.975690904597,0
2022-12-19 12:00:00,16725.2,16757.7,16656.4,16660.2,54277.784,16791.98,51.05734031459882,16717.604254544523,16740.805,16937.64384378113,16543.96615621887,0
2022-12-19 16:00:00,16660.3,16694.9,16511.9,16549.3,97414.221,16756.559999999998,42.35520038909142,16659.473289900427,16717.34,16884.37812864461,16550.30187135539,-1
2022-12-19 20:00:00,16549.3,16642.1,16210.0,16429.2,87890.393,16723.06,54.434483555919606,16583.258270228933,16690.71,16863.37583363626,16518.04416636374,-1
2022-12-20 00:00:00,16429.2,16880.2,16390.3,16718.0,109994.556,16750.3,89.99563878322132,16597.1830215477,16683.785,16838.64547064523,16528.92452935477,0
2022-12-20 04:00:00,16717.9,16870.0,16682.3,16796.1,69915.337,16768.98,105.22422249653481,16619.149108048012,16692.385,16852.31034146328,16532.459658536718,0
2022-12-20 08:00:00,16796.2,16853.0,16755.2,16805.1,47552.517,16788.04,111.13533641466346,16630.989452411537,16699.265,16866.36110565886,16532.16889434114,0
2022-12-20 12:00:00,16805.2,17049.6,16684.0,16910.9,131483.196,16858.98,144.8968667708204,16714.649308925975,16707.909999999996,16899.534368299952,16516.28563170004,1
2022-12-20 16:00:00,16910.8,16927.5,16763.6,16894.7,81655.657,16916.06,79.60501240500591,16799.304979890247,16717.614999999998,16926.55863153237,16508.671368467625,1
2022-12-20 20:00:00,16894.6,16918.7,16825.2,16887.2,35569.835,16923.760000000002,77.09152352886275,16847.84965940281,16727.355,16949.11768467853,16505.592315321468,1
2022-12-21 00:00:00,16887.3,16918.2,16776.0,16829.8,33529.575,16933.4,71.49919579968181,16860.97761651311,16734.635000000002,16959.963497275094,16509.30650272491,0
2022-12-21 04:00:00,16829.9,16848.2,16761.2,16809.2,27534.062,16932.440000000002,72.86770889770872,16864.78871454414,16736.695,16964.052020194275,16509.337979805725,0
2022-12-21 08:00:00,16809.1,16889.2,16788.0,16872.4,31352.995,16900.36,32.54386270867647,16852.076078063234,16743.49,16978.806422134872,16508.17357786513,0
2022-12-21 12:00:00,16872.4,16924.2,16694.2,16854.6,72649.874,16899.7,31.882597133878342,16838.018766460154,16749.225,16989.70713742624,16508.742862573756,0
2022-12-21 16:00:00,16854.6,16858.6,16717.0,16746.8,36319.23,16887.68,34.175312727188334,16819.606283434754,16751.454999999998,16990.92610560795,16511.983894392048,0
2022-12-21 20:00:00,16746.9,16830.7,16721.0,16819.6,26366.599,16870.18,36.93172078310111,16811.89508508666,16758.614999999998,16997.198815350934,16520.031184649062,0
2022-12-22 00:00:00,16819.7,16852.8,16802.3,16844.5,19470.669,16871.1,36.29917354432408,16814.96573246495,16763.56,17005.089515685784,16522.03048431422,0
